document,term,count
181,sorrow,2
183,artemis,1
183,fulfilment,1
183,grant,1
183,prays,1
183,sign,1
184,afraid,1
184,calls,1
184,healer,1
184,hold,1
184,increases,1
184,paian,1
184,vision,1
185,back,1
187,beautiful,1
187,lover,1
187,one,1
187,tender,1
187,thou,2
188,breath,1
188,child,1
188,dewy,1
188,lions,1
189,cover,1
189,delight,1
189,den,1
189,thou,1
190,breast,1
190,life,1
190,wild,1
190,young,1
191,eagles,1
191,fulfill,2
191,kill,1
191,sign,1
191,yet,1
192,accepted,1
192,albeit,1
192,horrible,1
192,vision,1
193,paian,1
193,stay,2
194,evil,1
194,heart,1
194,setteth,1
194,upon,1
195,held,1
195,long,1
195,sea,1
195,ship,1
195,unventured,1
195,wastes,1
195,wind,1
196,another,1
196,blood,1
196,shedding,1
196,till,1
196,wrought,1
197,broken,1
197,feast,1
197,kill,1
197,law,1
197,pray,1
198,bride,1
198,flesh,1
198,obeyeth,1
198,strife,1
199,abideth,1
199,beyond,2
199,reawoken,1
199,wrath,1
200,forgetteth,1
200,haunteth,1
200,house,1
200,never,1
200,plotteth,1
200,yea,1
201,child,1
201,wrath,1
202,calchas,1
202,eagles,1
202,reading,1
202,sign,1
202,wayside,1
203,bale,1
203,blessings,1
203,kings,1
203,spake,1
203,words,1
204,like,1
204,song,1
204,thine,1
205,good,1
205,prevail,2
205,sing,1
205,sorrow,2
207,barbarous,1
207,belongs,1
207,brings,1
207,gods,1
207,old,1
207,peace,1
207,religion,1
207,such,1
208,learn,1
208,man,1
208,shown,1
208,suffering,1
208,turn,1
208,zeus,1
210,whateer,1
210,zeus,2
211,hear,1
211,love,1
211,name,1
212,called,1
212,shall,1
213,air,1
213,earth,1
213,sea,1
213,searching,1
215,can,1
215,find,1
215,nowhere,1
215,refuge,1
216,mind,1
216,save,1
217,cast,1
217,die,1
217,will,1
218,burden,1
218,vanity,1
220,old,1
220,one,1
220,reigned,1
221,big,1
221,blast,1
221,brave,1
221,wrath,1
222,name,1
222,told,1
223,followed,1
223,last,1
223,met,1
224,gone,1
224,thirdthrower,1
225,hearts,1
225,known,1
225,whose,1
226,conqueror,1
226,friend,1
226,zeus,1
227,end,1
227,shall,1
227,visions,1
227,win,1
229,guide,1
229,made,1
229,man,1
229,turn,1
229,zeus,1
230,ordain,1
230,thoughtward,1
230,zeus,1
231,learn,1
231,man,1
231,shall,1
231,suffering,1
232,heart,1
233,aching,1
233,pain,1
233,remembered,1
234,bleeds,1
234,sleepeth,1
235,comes,1
235,will,1
235,wisdom,1
236,gift,1
236,one,1
236,strife,1
236,tis,1
237,life,1
237,lifted,1
237,throne,1
239,accepted,1
239,agamemnon,1
239,came,1
239,delay,1
239,long,1
239,sign,1
239,storm,1
240,aulis,1
240,fleet,1
240,lay,1
242,day,1
242,elder,1
242,lord,1
243,achaian,1
243,marshal,1
243,ships,1
244,prophets,1
244,strove,1
244,word,1
245,bowed,1
245,eclipse,1
245,fates,1
246,empty,1
246,jars,1
246,lips,1
247,impassable,1
247,parched,1
247,seas,1
248,army,1
248,fate,1
248,fell,1
248,greek,1
249,chalcis,1
249,fronting,1
249,lay,1
250,aulis,1
250,bay,1
250,swirling,1
252,answered,1
252,artemis,1
252,calchas,1
252,demanded,1
252,last,1
252,till,1
252,wroth,1
253,agamemnons,1
253,daughter,1
253,death,1
253,doubt,1
253,grief,1
253,kings,1
255,blew,1
255,river,1
255,strymon,1
255,winds,2
256,endeavour,1
256,starving,1
256,unharboured,1
256,waste,1
256,winds,1
257,bulwark,1
257,cord,1
257,manblinding,1
257,pitiless,1
258,days,1
258,long,2
258,made,1
258,waste,1
259,aghast,1
259,argos,1
259,flower,1
259,till,1
259,withered,1
260,rose,1
260,song,1
260,storm,1
260,warseers,1
261,medicine,1
261,tame,1
261,tempest,1
261,told,1
262,bow,1
262,direr,1
262,princes,1
262,wrong,1
263,artemis,1
263,name,1
263,named,1
263,whispered,1
264,brother,1
264,hearts,1
264,kings,1
264,shook,1
265,came,1
265,earth,1
265,smote,1
265,staves,1
265,tears,1
267,elder,1
267,found,1
267,hath,1
267,king,1
267,spoken,1
267,voice,1
268,broken,1
268,doom,1
268,gods,1
268,heavy,1
268,sure,1
268,will,1
269,child,1
269,delighteth,1
269,house,1
269,mine,1
269,slay,1
270,blood,1
270,flow,1
270,heavy,1
271,altar,1
271,beside,1
271,fathers,1
271,hand,1
271,hard,1
272,path,1
272,sorrow,1
272,wheresoeer,1
273,agamemnon,1
273,fail,1
273,people,1
273,shall,1
273,ships,1
274,hellas,1
274,hosts,1
274,melt,1
274,melts,1
274,snow,1
275,break,1
275,cry,1
275,death,1
275,shall,1
275,spell,1
275,thirst,1
276,blood,1
276,men,1
276,old,1
276,rite,1
276,tell,1
276,tis,1
276,virgins,1
277,burn,1
277,end,1
277,god,1
277,longingo,1
277,may,1
277,well,1
279,ambition,1
279,but,1
279,consented,1
279,drove,1
279,sin,1
279,slaying,1
279,till,1
280,daughter,1
280,iphigenia,1
280,sacrifice,1
282,bowed,1
282,must,1
282,slowly,1
282,yoke,1
283,bosom,1
283,strange,1
283,tossed,1
283,wind,1
283,within,1
284,dark,1
284,thought,1
284,unclean,1
284,unholy,1
284,wind,1
285,daring,1
285,rose,1
285,uttermost,1
286,blindness,1
286,boldened,1
286,men,1
286,straying,1
287,base,1
287,brings,1
287,desire,1
287,grief,1
287,hereafter,1
287,toward,1
288,grief,1
288,yea,1
289,childs,1
289,hardened,1
289,man,1
289,slaying,1
290,avenge,1
290,help,1
290,laughter,1
290,womans,1
291,bring,1
291,relief,1
291,ships,1
293,cry,1
293,father,2
293,lingered,1
293,sad,1
294,breath,1
294,hearts,1
294,held,1
294,naught,1
294,virgin,1
295,battlehungered,1
295,bronzeclad,1
295,witnesses,1
296,prayed,1
296,prayer,1
296,wrought,1
297,bind,1
297,charged,1
